Importing plotly failed. Interactive plots will not work.
[PIPE] Frecuencia efectiva para el modelado: MS

[DEBUG-ZEROS] ---- Diagnóstico por combinación (post-resample) ----
  • 7.50E+12 | default | DISTRIBUIDORES -> n=39, %ceros=100.00%, pasa_filtro=False
  • ALPURA FRUTAL  FRESA 1L | default | E-COMMERCE -> n=40, %ceros=80.00%, pasa_filtro=False
  • ALPURA FRUTAL  FRESA 1L | default | FOOD SERVICE -> n=40, %ceros=55.00%, pasa_filtro=True
  • ALPURA FRUTAL  FRESA 1L | default | GOBIERNO -> n=40, %ceros=57.50%, pasa_filtro=True
  • ALPURA FRUTAL  FRESA 1L | default | MAYOREO -> n=40, %ceros=50.00%, pasa_filtro=True
  • ALPURA FRUTAL  FRESA 1L | default | OTROS -> n=40, %ceros=55.00%, pasa_filtro=True
  • ALPURA FRUTAL  FRESA 1L | default | PROXIMIDAD -> n=40, %ceros=45.00%, pasa_filtro=True
  • ALPURA FRUTAL  FRESA 1L | default | TIENDAS -> n=40, %ceros=55.00%, pasa_filtro=True
  • ALPURA FRUTAL  MANGO 1L | default | AUTOSERVICIOS -> n=40, %ceros=57.50%, pasa_filtro=True
  • ALPURA FRUTAL  MANGO 1L | default | DETALLE -> n=40, %ceros=55.00%, pasa_filtro=True
  • ALPURA FRUTAL  MANGO 1L | default | DISTRIBUIDORES -> n=40, %ceros=57.50%, pasa_filtro=True
  • ALPURA FRUTAL  MANGO 1L | default | FOOD SERVICE -> n=40, %ceros=55.00%, pasa_filtro=True
  • ALPURA FRUTAL  MANGO 1L | default | GOBIERNO -> n=40, %ceros=57.50%, pasa_filtro=True
  • ALPURA FRUTAL  MANGO 1L | default | MAYOREO -> n=40, %ceros=55.00%, pasa_filtro=True
  • ALPURA FRUTAL  MANGO 1L | default | OTROS -> n=40, %ceros=55.00%, pasa_filtro=True
  • ALPURA FRUTAL  MANGO 1L | default | PROXIMIDAD -> n=40, %ceros=55.00%, pasa_filtro=True
  • ALPURA FRUTAL  MANGO 1L | default | TIENDAS -> n=40, %ceros=55.00%, pasa_filtro=True
  • ALPURA FRUTAL PI?A COCO 1L | default | AUTOSERVICIOS -> n=40, %ceros=57.50%, pasa_filtro=True
  • ALPURA FRUTAL PI?A COCO 1L | default | DETALLE -> n=40, %ceros=55.00%, pasa_filtro=True
  • ALPURA FRUTAL PI?A COCO 1L | default | DISTRIBUIDORES -> n=40, %ceros=47.50%, pasa_filtro=True
  • ALPURA FRUTAL PI?A COCO 1L | default | E-COMMERCE -> n=40, %ceros=92.50%, pasa_filtro=False
  • ALPURA FRUTAL PI?A COCO 1L | default | FOOD SERVICE -> n=40, %ceros=55.00%, pasa_filtro=True
  • ALPURA FRUTAL PI?A COCO 1L | default | GOBIERNO -> n=40, %ceros=57.50%, pasa_filtro=True
  • ALPURA FRUTAL PI?A COCO 1L | default | MAYOREO -> n=40, %ceros=52.50%, pasa_filtro=True
  • ALPURA FRUTAL PI?A COCO 1L | default | OTROS -> n=40, %ceros=55.00%, pasa_filtro=True
  • ALPURA FRUTAL PI?A COCO 1L | default | PROXIMIDAD -> n=40, %ceros=47.50%, pasa_filtro=True
  • ALPURA FRUTAL PI?A COCO 1L | default | TIENDAS -> n=40, %ceros=55.00%, pasa_filtro=True
  • ALPURA KIDS UP CRECIMIENTO EDGE 1 L | default | AUTOSERVICIOS -> n=40, %ceros=85.00%, pasa_filtro=False
  • ALPURA KIDS UP CRECIMIENTO EDGE 1 L | default | DETALLE -> n=40, %ceros=82.50%, pasa_filtro=False
  • ALPURA KIDS UP CRECIMIENTO EDGE 1 L | default | DISTRIBUIDORES -> n=40, %ceros=85.00%, pasa_filtro=False
  • ALPURA KIDS UP CRECIMIENTO EDGE 1 L | default | FOOD SERVICE -> n=40, %ceros=85.00%, pasa_filtro=False
  • ALPURA KIDS UP CRECIMIENTO EDGE 1 L | default | GOBIERNO -> n=40, %ceros=87.50%, pasa_filtro=False
  • ALPURA KIDS UP CRECIMIENTO EDGE 1 L | default | MAYOREO -> n=40, %ceros=82.50%, pasa_filtro=False
  • ALPURA KIDS UP CRECIMIENTO EDGE 1 L | default | OTROS -> n=40, %ceros=80.00%, pasa_filtro=False
  • ALPURA KIDS UP CRECIMIENTO EDGE 1 L | default | PROXIMIDAD -> n=40, %ceros=82.50%, pasa_filtro=False
  • ALPURA KIDS UP CRECIMIENTO EDGE 1 L | default | TIENDAS -> n=40, %ceros=85.00%, pasa_filtro=False
  • BAGUETTE | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • BASE BATIDO RICH GRANEL | default | FOOD SERVICE -> n=40, %ceros=90.00%, pasa_filtro=False
  • BEBIDA VEGETAL ALMENDRA UHT SEEDS COMBIFIT 946ML | default | AUTOSERVICIOS -> n=40, %ceros=15.00%, pasa_filtro=True
  • BEBIDA VEGETAL ALMENDRA UHT SEEDS COMBIFIT 946ML | default | DETALLE -> n=40, %ceros=10.00%, pasa_filtro=True
  • BEBIDA VEGETAL ALMENDRA UHT SEEDS COMBIFIT 946ML | default | DISTRIBUIDORES -> n=40, %ceros=20.00%, pasa_filtro=True
  • BEBIDA VEGETAL ALMENDRA UHT SEEDS COMBIFIT 946ML | default | E-COMMERCE -> n=40, %ceros=47.50%, pasa_filtro=True
  • BEBIDA VEGETAL ALMENDRA UHT SEEDS COMBIFIT 946ML | default | FOOD SERVICE -> n=40, %ceros=10.00%, pasa_filtro=True
  • BEBIDA VEGETAL ALMENDRA UHT SEEDS COMBIFIT 946ML | default | GOBIERNO -> n=40, %ceros=32.50%, pasa_filtro=True
  • BEBIDA VEGETAL ALMENDRA UHT SEEDS COMBIFIT 946ML | default | MAYOREO -> n=40, %ceros=12.50%, pasa_filtro=True
  • BEBIDA VEGETAL ALMENDRA UHT SEEDS COMBIFIT 946ML | default | OTROS -> n=40, %ceros=10.00%, pasa_filtro=True
  • BEBIDA VEGETAL ALMENDRA UHT SEEDS COMBIFIT 946ML | default | PROXIMIDAD -> n=40, %ceros=22.50%, pasa_filtro=True
  • BEBIDA VEGETAL ALMENDRA UHT SEEDS COMBIFIT 946ML | default | TIENDAS -> n=40, %ceros=10.00%, pasa_filtro=True
  • BEBIDA VEGETAL COCO UHT SEEDS COMBIFIT 946ML | default | AUTOSERVICIOS -> n=40, %ceros=15.00%, pasa_filtro=True
  • BEBIDA VEGETAL COCO UHT SEEDS COMBIFIT 946ML | default | DETALLE -> n=40, %ceros=10.00%, pasa_filtro=True
  • BEBIDA VEGETAL COCO UHT SEEDS COMBIFIT 946ML | default | DISTRIBUIDORES -> n=40, %ceros=22.50%, pasa_filtro=True
  • BEBIDA VEGETAL COCO UHT SEEDS COMBIFIT 946ML | default | E-COMMERCE -> n=40, %ceros=45.00%, pasa_filtro=True
  • BEBIDA VEGETAL COCO UHT SEEDS COMBIFIT 946ML | default | FOOD SERVICE -> n=40, %ceros=12.50%, pasa_filtro=True
  • BEBIDA VEGETAL COCO UHT SEEDS COMBIFIT 946ML | default | GOBIERNO -> n=40, %ceros=40.00%, pasa_filtro=True
  • BEBIDA VEGETAL COCO UHT SEEDS COMBIFIT 946ML | default | MAYOREO -> n=40, %ceros=10.00%, pasa_filtro=True
  • BEBIDA VEGETAL COCO UHT SEEDS COMBIFIT 946ML | default | OTROS -> n=40, %ceros=10.00%, pasa_filtro=True
  • BEBIDA VEGETAL COCO UHT SEEDS COMBIFIT 946ML | default | PROXIMIDAD -> n=40, %ceros=92.50%, pasa_filtro=False
  • BEBIDA VEGETAL COCO UHT SEEDS COMBIFIT 946ML | default | TIENDAS -> n=40, %ceros=12.50%, pasa_filtro=True
  • BEBIDAS CAFETERIA | default | DETALLE -> n=40, %ceros=100.00%, pasa_filtro=False
  • BEBIDAS CAFETERIA | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • BEBIDAS CAFETERIA | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • BOLA DE HELADO MENTA CON CHISPAS 87 MILILITROS | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • BOLA HELADO 110 G | default | DETALLE -> n=40, %ceros=100.00%, pasa_filtro=False
  • BOLA HELADO 110 G | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • BOLA HELADO 110 G | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • BOLA HELADO 174 MM | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • BOLA HELADO 220 G | default | DETALLE -> n=40, %ceros=100.00%, pasa_filtro=False
  • BOLA HELADO 220 G | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • BOLA HELADO 220 G | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • BOLA HELADO 87 MM | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • BOLA HELADO LIMON AGUA 87 MM | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAFE AMERICANO 12 OZ | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAFE AMERICANO 12 OZ | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAFE AMERICANO 16 OZ | default | DETALLE -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAFE AMERICANO 16 OZ | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAFE AMERICANO 16 OZ | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAFE EXPRESSO TRADICIONAL 4 OZ | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAFE EXPRESSO TRADICIONAL 4 OZ | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAFE EXPRESSO TRADICIONAL DOBLE 4 OZ | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAFE EXPRESSO TRADICIONAL DOBLE 4 OZ | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO CREAM 12 OZ | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO CREAM 12 OZ | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO CREAM 16 OZ | default | DETALLE -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO CREAM 16 OZ | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO CREAM 16 OZ | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO DESCAFEINADO 12 OZ | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO DESCAFEINADO 12 OZ | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO DESCAFEINADO 16 OZ | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO DESCAFEINADO 16 OZ | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO FROZEN 12 OZ | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO FROZEN 12 OZ | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO FROZEN 16 OZ | default | DETALLE -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO FROZEN 16 OZ | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO FROZEN 16 OZ | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO MOKA 12 OZ | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO MOKA 12 OZ | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO MOKA 16 OZ | default | DETALLE -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO MOKA 16 OZ | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO MOKA 16 OZ | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO SABORIZADO 12 OZ | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO SABORIZADO 12 OZ | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO SABORIZADO 16 OZ | default | DETALLE -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO SABORIZADO 16 OZ | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO SABORIZADO 16 OZ | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO TRADICIONAL 12 OZ | default | DETALLE -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO TRADICIONAL 12 OZ | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO TRADICIONAL 12 OZ | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO TRADICIONAL 16 OZ | default | DETALLE -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO TRADICIONAL 16 OZ | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CAPUCCINO TRADICIONAL 16 OZ | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CHAPATA BUFALO | default | DETALLE -> n=40, %ceros=100.00%, pasa_filtro=False
  • CHAPATA BUFALO | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CHAPATA BUFALO | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CHOCOLATE BLANCO 12 OZ | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CHOCOLATE BLANCO 12 OZ | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CHOCOLATE BLANCO 16 OZ | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CHOCOLATE BLANCO 16 OZ | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CHOCOLATE CALIENTE 12 OZ | default | DETALLE -> n=40, %ceros=100.00%, pasa_filtro=False
  • CHOCOLATE CALIENTE 12 OZ | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CHOCOLATE CALIENTE 12 OZ | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CHOCOLATE CALIENTE 16 OZ | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CHOCOLATE CALIENTE 16 OZ | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CHOCOLATE ESPUMOSO AMARGO 12 OZ | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CHOCOLATE ESPUMOSO AMARGO 16 OZ | default | DETALLE -> n=40, %ceros=100.00%, pasa_filtro=False
  • CHOCOLATE ESPUMOSO AMARGO 16 OZ | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CHOCOLATE ESPUMOSO AMARGO 16 OZ | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CHOCOLATE MALVADITO 12 OZ | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CHOCOLATE MALVADITO 12 OZ | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CHOCOLATE MALVADITO 16 OZ | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • CREMA A. 450 ML. PAQ. C/3 | default | AUTOSERVICIOS -> n=40, %ceros=97.50%, pasa_filtro=False
  • CREMA A. 450 ML. PAQ. C/3 | default | CLUB DE PRECIOS -> n=40, %ceros=87.50%, pasa_filtro=False
  • CREMA A. 450 ML. PAQ. C/3 | default | OTROS -> n=40, %ceros=87.50%, pasa_filtro=False
  • CREMA ACIDA 25 GR DE GRASA 200 ML | default | AUTOSERVICIOS -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 200 ML | default | CLUB DE PRECIOS -> n=40, %ceros=42.50%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 200 ML | default | DETALLE -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 200 ML | default | DISTRIBUIDORES -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 200 ML | default | E-COMMERCE -> n=40, %ceros=22.50%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 200 ML | default | FOOD SERVICE -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 200 ML | default | GEPP -> n=40, %ceros=32.50%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 200 ML | default | GOBIERNO -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 200 ML | default | MAYOREO -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 200 ML | default | OTROS -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 200 ML | default | PROXIMIDAD -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 200 ML | default | TIENDAS -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 450 ML | default | AUTOSERVICIOS -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 450 ML | default | DETALLE -> n=40, %ceros=67.50%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 450 ML | default | DISTRIBUIDORES -> n=40, %ceros=65.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 450 ML | default | E-COMMERCE -> n=40, %ceros=82.50%, pasa_filtro=False
  • CREMA ACIDA 25 GR DE GRASA 450 ML | default | FOOD SERVICE -> n=40, %ceros=75.00%, pasa_filtro=False
  • CREMA ACIDA 25 GR DE GRASA 450 ML | default | GEPP -> n=40, %ceros=85.00%, pasa_filtro=False
  • CREMA ACIDA 25 GR DE GRASA 450 ML | default | GOBIERNO -> n=40, %ceros=77.50%, pasa_filtro=False
  • CREMA ACIDA 25 GR DE GRASA 450 ML | default | MAYOREO -> n=40, %ceros=75.00%, pasa_filtro=False
  • CREMA ACIDA 25 GR DE GRASA 450 ML | default | OTROS -> n=40, %ceros=60.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 450 ML | default | PROXIMIDAD -> n=40, %ceros=65.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 450 ML | default | TIENDAS -> n=40, %ceros=75.00%, pasa_filtro=False
  • CREMA ACIDA 25 GR DE GRASA 900 ML | default | AUTOSERVICIOS -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 900 ML | default | CLUB DE PRECIOS -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 900 ML | default | DETALLE -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 900 ML | default | DISTRIBUIDORES -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 900 ML | default | E-COMMERCE -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 900 ML | default | FOOD SERVICE -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 900 ML | default | GEPP -> n=40, %ceros=32.50%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 900 ML | default | GOBIERNO -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 900 ML | default | MAYOREO -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 900 ML | default | OTROS -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 900 ML | default | PROXIMIDAD -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA 900 ML | default | TIENDAS -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA CUBETA 4 LT | default | AUTOSERVICIOS -> n=40, %ceros=97.50%, pasa_filtro=False
  • CREMA ACIDA 25 GR DE GRASA CUBETA 4 LT | default | B2B -> n=40, %ceros=97.50%, pasa_filtro=False
  • CREMA ACIDA 25 GR DE GRASA CUBETA 4 LT | default | CLUB DE PRECIOS -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA CUBETA 4 LT | default | DETALLE -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA CUBETA 4 LT | default | DISTRIBUIDORES -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA CUBETA 4 LT | default | E-COMMERCE -> n=40, %ceros=35.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA CUBETA 4 LT | default | FOOD SERVICE -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA CUBETA 4 LT | default | GOBIERNO -> n=40, %ceros=67.50%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA CUBETA 4 LT | default | MAYOREO -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA CUBETA 4 LT | default | OTROS -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA CUBETA 4 LT | default | PROXIMIDAD -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 25 GR DE GRASA CUBETA 4 LT | default | TIENDAS -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA 426 ML | default | AUTOSERVICIOS -> n=40, %ceros=15.00%, pasa_filtro=True
  • CREMA ACIDA 426 ML | default | CLUB DE PRECIOS -> n=40, %ceros=42.50%, pasa_filtro=True
  • CREMA ACIDA 426 ML | default | DETALLE -> n=40, %ceros=15.00%, pasa_filtro=True
  • CREMA ACIDA 426 ML | default | DISTRIBUIDORES -> n=40, %ceros=15.00%, pasa_filtro=True
  • CREMA ACIDA 426 ML | default | E-COMMERCE -> n=40, %ceros=15.00%, pasa_filtro=True
  • CREMA ACIDA 426 ML | default | FOOD SERVICE -> n=40, %ceros=15.00%, pasa_filtro=True
  • CREMA ACIDA 426 ML | default | GEPP -> n=40, %ceros=47.50%, pasa_filtro=True
  • CREMA ACIDA 426 ML | default | GOBIERNO -> n=40, %ceros=15.00%, pasa_filtro=True
  • CREMA ACIDA 426 ML | default | MAYOREO -> n=40, %ceros=15.00%, pasa_filtro=True
  • CREMA ACIDA 426 ML | default | OTROS -> n=40, %ceros=15.00%, pasa_filtro=True
  • CREMA ACIDA 426 ML | default | PROXIMIDAD -> n=40, %ceros=15.00%, pasa_filtro=True
  • CREMA ACIDA 426 ML | default | TIENDAS -> n=40, %ceros=15.00%, pasa_filtro=True
  • CREMA ACIDA BAJA EN GRASA 200M | default | AUTOSERVICIOS -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA BAJA EN GRASA 200M | default | DETALLE -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA BAJA EN GRASA 200M | default | DISTRIBUIDORES -> n=40, %ceros=7.50%, pasa_filtro=True
  • CREMA ACIDA BAJA EN GRASA 200M | default | E-COMMERCE -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA BAJA EN GRASA 200M | default | FOOD SERVICE -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA BAJA EN GRASA 200M | default | GOBIERNO -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA BAJA EN GRASA 200M | default | MAYOREO -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA BAJA EN GRASA 200M | default | OTROS -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA BAJA EN GRASA 200M | default | PROXIMIDAD -> n=40, %ceros=47.50%, pasa_filtro=True
  • CREMA ACIDA BAJA EN GRASA 200M | default | TIENDAS -> n=40, %ceros=0.00%, pasa_filtro=True
  • CREMA ACIDA BAJA EN GRASA 450M | default | AUTOSERVICIOS -> n=40, %ceros=80.00%, pasa_filtro=False
  • CREMA ACIDA BAJA EN GRASA 450M | default | DETALLE -> n=40, %ceros=80.00%, pasa_filtro=False
  • CREMA ACIDA BAJA EN GRASA 450M | default | DISTRIBUIDORES -> n=40, %ceros=82.50%, pasa_filtro=False
  • CREMA ACIDA BAJA EN GRASA 450M | default | E-COMMERCE -> n=40, %ceros=82.50%, pasa_filtro=False
